what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1354385001474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385009159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385053556
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354385054779
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354385057522
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1354385060025
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385064467
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385067063
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354385067565
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354385067665
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354385068868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385076379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385076511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385079740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385079923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385080765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385082083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385082464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385119323
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1354385134813
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354385139073
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354385141537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354385146760
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1354385166931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354385173232
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354385182111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385183527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385185454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385187031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385188394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385188750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385192071
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354385193213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385197094
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354385198654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385198781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1354385198792
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354385203296
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354385203397
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385205500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385217459
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354385217743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385225824
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385265754
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1354385270108
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354385270461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385275689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385345979
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354385350174
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354385350463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354385365709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385367212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385369336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385370438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385489905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385490951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385515494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385518690
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385521363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385525866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385527124
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354385530557
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1354385535334
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1354385535334
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1354385535344
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1354385535522
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1354385535647
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1354385535934
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1354385535934
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1354385535934
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1354385978510
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1354385978511
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1354385978548
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1354385978675
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1354385978745
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1354385978792
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1354385978866
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1354385978900
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1354385978996
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1354385978998
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1354385979011
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1354385979083
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1354385979194
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1354385979227
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1354385979249
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1354385979276
